rank,Category,Indicator,Policy,Country,ISO,value,unit,year
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Slovakia,SVK,5.3,percent,2018.0
64,Social issues ,Gini index (World Bank estimate),E2_Debt/contract relief,Slovakia,SVK,25.2,index ,2016.0
65,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Slovakia,SVK,0.003006,percent,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Slovakia,SVK,96.0,percent,2019.0
68,Governance,Human Development Index,E2_Debt/contract relief,Slovakia,SVK,0.86,index,2019.0
69,Environment,CO2 emissions (kt),E2_Debt/contract relief,Slovakia,SVK,32423.61,kt,2016.0
71,Governance,Total freedom in the world score ,E2_Debt/contract relief,Slovakia,SVK,90.0,score,2021.0
73,Health,Prevalence of down syndrome,E2_Debt/contract relief,Slovakia,SVK,0.000134,percent,2019.0
76,Social issues ,Proportion of seats held by women in national parliaments (%),E2_Debt/contract relief,Slovakia,SVK,20.0,proportion,2020.0
77,Governance,Control of corruption estimate,E2_Debt/contract relief,Slovakia,SVK,0.3272027,score,2019.0
79,Environment,Electric power consumption ,E2_Debt/contract relief,Slovakia,SVK,5137.073835193975,kWh per capita,2014.0
80,Economics,Volume of imports,E2_Debt/contract relief,Slovakia,SVK,5.189,percent change,2020.0
81,Environment,Access to electricity ,E2_Debt/contract relief,Slovakia,SVK,100.0,percent of population,2018.0
85,Environment,Renewable energy consumption ,E2_Debt/contract relief,Slovakia,SVK,13.4091682209694,percent of total final energy consumption,2015.0
100,Governance,Serious assault (rate),E2_Debt/contract relief,Slovakia,SVK,29.29,rate,2018.0
114,Environment,"Electricity production from oil, gas and coal sources",E2_Debt/contract relief,Slovakia,SVK,19.9759687593872,percent of total,2015.0
115,Environment,Electricity production from nuclear sources ,E2_Debt/contract relief,Slovakia,SVK,56.87143286272154,percent of total,2015.0
