rank,Category,Indicator,Policy,Country,ISO,value,unit,year
61,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Portugal,PRT,3.3,percent,2020.0
62,Governance,Serious assault (rate),H6_Facial Coverings,Portugal,PRT,5.65,rate,2018.0
65,Governance,Government effectiveness estimate,H6_Facial Coverings,Portugal,PRT,1.154005,score,2019.0
68,Health,"Immunization, DPT (% of children ages 12-23 months)",H6_Facial Coverings,Portugal,PRT,99.0,percent,2019.0
69,Health,Mortality due to COVID-19,H6_Facial Coverings,Portugal,PRT,5977.0,"Number (cumulative total by Dec 26,2020)",2020.0
72,Governance,Voice and accountability estimate,H6_Facial Coverings,Portugal,PRT,1.238783,score,2019.0
74,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H6_Facial Coverings,Portugal,PRT,16.0083566266812,percent of total,2017.0
75,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Portugal,PRT,77.02412,percent of total,2015.0
76,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Portugal,PRT,1.128248,score,2019.0
77,Economics,Volume of exports,H6_Facial Coverings,Portugal,PRT,4.072,percent change,2020.0
79,Governance,Total freedom in the world score ,H6_Facial Coverings,Portugal,PRT,96.0,score,2021.0
80,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Portugal,PRT,58.4220009,Percentage of total population,2020.0
82,Governance,Rule of law estimate ,H6_Facial Coverings,Portugal,PRT,1.135677,score,2019.0
84,Environment,Access to electricity ,H6_Facial Coverings,Portugal,PRT,100.0,percent of population,2018.0
90,Environment,Electricity production from coal sources ,H6_Facial Coverings,Portugal,PRT,28.71823872389384,percent of total,2015.0
116,Environment,Electricity production from nuclear sources ,H6_Facial Coverings,Portugal,PRT,0.0,percent of total,2015.0
